Package Name,Slug,Price,Tax Label,Badge,Accent,Inclusions,Sort Order,Published
Classic Casino NITE,classic-casino-nite,2750,+ tax,,classic,"3 hours of high-energy casino gaming
Blackjack, Craps, and Roulette
Up to 25 guests playing simultaneously
3 professional, entertaining dealers
3 tables total (Blackjack, Craps, Roulette)
Hosted, guided gameplay — perfect for beginners
Chips and full casino setup included",1,TRUE
Deluxe Casino NITE,deluxe-casino-nite,3750,+ tax,Most Popular,deluxe,"3 hours of elevated casino entertainment
2 Blackjack Tables, Craps & Roulette
Up to 30–35 guests playing simultaneously
4 of Maui’s most entertaining dealers
4 tables total
Professional sound support (mic + music) for smooth, high-energy gameplay
Ambient lighting included",2,TRUE
Full Casino Experience,full-casino-experience,4500,+ tax,,full,"A fully immersive casino-style event experience
2 Blackjack Tables, Craps, Roulette & Poker
Up to 40 guests playing simultaneously
5 of Maui’s most entertaining dealers
5 tables total
Custom Balloon Decor by Cirque Jolie
Enhanced sound + DJ-style energy
Upgraded lighting & atmosphere
Red carpet entrance experience
Prizes for top chip leaders",3,TRUE
